OrderID,Date,Region,Salesperson,Product,Category,Quantity,Unit Price,Total Cost,Total Sales
1001,2026-01-05,North,Amit,Laptop,Electronics,2,50000,90000,100000
1002,2026-01-08,South,Priya,Mouse,Accessories,10,500,3500,5000
1003,2026-02-10,East,Rahul,Keyboard,Accessories,5,1200,4500,6000
1004,2026-02-18,West,Anita,Monitor,Electronics,3,15000,39000,45000
1005,2026-03-01,North,Amit,Printer,Electronics,2,12000,18000,24000
1006,2026-03-05,South,Priya,Mouse,Accessories,15,500,5500,7500
1007,2026-04-12,East,Rahul,Laptop,Electronics,1,52000,46000,52000
1008,2026-04-15,West,Anita,Keyboard,Accessories,8,1200,7000,9600
1009,2026-05-02,North,Amit,Monitor,Electronics,2,15000,26000,30000
1010,2026-05-10,South,Priya,Printer,Electronics,1,12000,9000,12000
